Region,County,First Dose,Series Complete,Report as of
Capital Region,Rensselaer,93045,87447,07/03/2021
New York City,Richmond,249094,228578,07/03/2021
Mid-Hudson,Rockland,166709,151971,07/03/2021
Capital Region,Saratoga,148348,140224,07/03/2021
Capital Region,Schenectady,103922,96865,07/03/2021
Mohawk Valley,Schoharie,15025,14245,07/03/2021
Southern Tier,Schuyler,8829,8326,07/03/2021
Finger Lakes,Seneca,15383,14490,07/03/2021
North Country,St. Lawrence,55333,52290,07/03/2021
Southern Tier,Steuben,41580,39310,07/03/2021
Long Island,Suffolk,881279,807673,07/03/2021
Mid-Hudson,Sullivan,36695,33459,07/03/2021
Southern Tier,Tioga,20301,19210,07/03/2021
Southern Tier,Tompkins,69399,65901,07/03/2021
Mid-Hudson,Ulster,112832,104037,07/03/2021
Capital Region,Warren,41814,39875,07/03/2021
Capital Region,Washington,32760,31164,07/03/2021
Finger Lakes,Wayne,49292,46728,07/03/2021
Mid-Hudson,Westchester,623274,573046,07/03/2021
Finger Lakes,Wyoming,18026,16887,07/03/2021
Finger Lakes,Yates,11443,10765,07/03/2021
Capital Region,Albany,195571,182756,07/04/2021
Western New York,Allegany,17234,16202,07/04/2021
New York City,Bronx,678923,604421,07/04/2021
Southern Tier,Broome,106495,100999,07/04/2021
Western New York,Cattaraugus,32778,30382,07/04/2021
Central New York,Cayuga,38695,36264,07/04/2021
Western New York,Chautauqua,61499,57059,07/04/2021
Southern Tier,Chemung,37295,35242,07/04/2021
Southern Tier,Chenango,24400,22936,07/04/2021
North Country,Clinton,47829,45481,07/04/2021
Capital Region,Columbia,35859,33271,07/04/2021
Central New York,Cortland,23381,22161,07/04/2021
Southern Tier,Delaware,20792,19442,07/04/2021
Mid-Hudson,Dutchess,170315,154707,07/04/2021
Western New York,Erie,538188,500131,07/04/2021
North Country,Essex,22435,21428,07/04/2021
North Country,Franklin,24721,23269,07/04/2021
Mohawk Valley,Fulton,23117,21766,07/04/2021
Finger Lakes,Genesee,28628,26921,07/04/2021
Capital Region,Greene,24791,22643,07/04/2021
North Country,Hamilton,3108,2881,07/04/2021
Mohawk Valley,Herkimer,28683,26696,07/04/2021
North Country,Jefferson,56741,46667,07/04/2021
New York City,Kings,1287039,1169778,07/04/2021
North Country,Lewis,11129,10652,07/04/2021
Finger Lakes,Livingston,31969,30370,07/04/2021
Central New York,Madison,43216,40682,07/04/2021
Finger Lakes,Monroe,445587,422470,07/04/2021
Mohawk Valley,Montgomery,27077,25363,07/04/2021
Long Island,Nassau,896181,827438,07/04/2021
New York City,New York,1114195,1027906,07/04/2021
Western New York,Niagara,114863,107723,07/04/2021
Mohawk Valley,Oneida,118282,110462,07/04/2021
Central New York,Onondaga,284702,267167,07/04/2021
Finger Lakes,Ontario,66546,63427,07/04/2021
Mid-Hudson,Orange,185818,169179,07/04/2021
Finger Lakes,Orleans,18238,17189,07/04/2021
Central New York,Oswego,61142,57819,07/04/2021
Mohawk Valley,Otsego,32236,30442,07/04/2021
Mid-Hudson,Putnam,61675,55836,07/04/2021
New York City,Queens,1448246,1312661,07/04/2021
Capital Region,Rensselaer,93089,87493,07/04/2021
New York City,Richmond,249330,228729,07/04/2021
Mid-Hudson,Rockland,166811,152052,07/04/2021
Capital Region,Saratoga,148402,140307,07/04/2021
Capital Region,Schenectady,103975,96916,07/04/2021
Mohawk Valley,Schoharie,15030,14251,07/04/2021
Southern Tier,Schuyler,8829,8327,07/04/2021
Finger Lakes,Seneca,15390,14496,07/04/2021
North Country,St. Lawrence,55344,52309,07/04/2021
Southern Tier,Steuben,41591,39335,07/04/2021
Long Island,Suffolk,882200,808569,07/04/2021
Mid-Hudson,Sullivan,36735,33474,07/04/2021
Southern Tier,Tioga,20308,19226,07/04/2021
Southern Tier,Tompkins,69420,65926,07/04/2021
Mid-Hudson,Ulster,112898,104098,07/04/2021
Capital Region,Warren,41824,39895,07/04/2021
Capital Region,Washington,32771,31179,07/04/2021
Finger Lakes,Wayne,49323,46769,07/04/2021
Mid-Hudson,Westchester,623612,573399,07/04/2021
Finger Lakes,Wyoming,18030,16894,07/04/2021
Finger Lakes,Yates,11446,10772,07/04/2021
Capital Region,Albany,196135,182967,07/05/2021
Western New York,Allegany,17237,16209,07/05/2021
New York City,Bronx,679539,605203,07/05/2021
Southern Tier,Broome,106531,101083,07/05/2021
Western New York,Cattaraugus,32816,30436,07/05/2021
Central New York,Cayuga,38708,36302,07/05/2021
Western New York,Chautauqua,61563,57122,07/05/2021
Southern Tier,Chemung,37300,35253,07/05/2021
Southern Tier,Chenango,24405,22958,07/05/2021
North Country,Clinton,47852,45526,07/05/2021
Capital Region,Columbia,35907,33300,07/05/2021
Central New York,Cortland,23387,22176,07/05/2021
Southern Tier,Delaware,20798,19448,07/05/2021
Mid-Hudson,Dutchess,170376,154788,07/05/2021
Western New York,Erie,539553,502322,07/05/2021
North Country,Essex,22442,21448,07/05/2021
North Country,Franklin,24732,23293,07/05/2021
Mohawk Valley,Fulton,23154,21806,07/05/2021
Finger Lakes,Genesee,28654,26952,07/05/2021
Capital Region,Greene,24821,22654,07/05/2021
North Country,Hamilton,3108,2882,07/05/2021
Mohawk Valley,Herkimer,28704,26726,07/05/2021
North Country,Jefferson,56773,46737,07/05/2021
New York City,Kings,1288374,1171654,07/05/2021
North Country,Lewis,11133,10668,07/05/2021
Finger Lakes,Livingston,31986,30389,07/05/2021
Central New York,Madison,43231,40704,07/05/2021
Finger Lakes,Monroe,445803,422681,07/05/2021
Mohawk Valley,Montgomery,27100,25400,07/05/2021
Long Island,Nassau,896808,828023,07/05/2021
New York City,New York,1115111,1028862,07/05/2021
Western New York,Niagara,114957,107837,07/05/2021
Mohawk Valley,Oneida,118327,110545,07/05/2021
Central New York,Onondaga,284809,267364,07/05/2021
Finger Lakes,Ontario,66577,63464,07/05/2021
Mid-Hudson,Orange,185932,169372,07/05/2021
Finger Lakes,Orleans,18247,17203,07/05/2021
Central New York,Oswego,61201,57869,07/05/2021
Mohawk Valley,Otsego,32245,30455,07/05/2021
Mid-Hudson,Putnam,61705,55869,07/05/2021
New York City,Queens,1449614,1314448,07/05/2021
Capital Region,Rensselaer,93147,87562,07/05/2021
New York City,Richmond,249543,228981,07/05/2021
Mid-Hudson,Rockland,167074,152336,07/05/2021
Capital Region,Saratoga,148469,140394,07/05/2021
Capital Region,Schenectady,104043,96997,07/05/2021
Mohawk Valley,Schoharie,15041,14276,07/05/2021
Southern Tier,Schuyler,8830,8333,07/05/2021
Finger Lakes,Seneca,15406,14510,07/05/2021
North Country,St. Lawrence,55375,52359,07/05/2021
Southern Tier,Steuben,41605,39354,07/05/2021
Long Island,Suffolk,883134,809608,07/05/2021
Mid-Hudson,Sullivan,36767,33497,07/05/2021
Southern Tier,Tioga,20315,19232,07/05/2021
Southern Tier,Tompkins,69432,65958,07/05/2021
Mid-Hudson,Ulster,112957,104164,07/05/2021
Capital Region,Warren,41864,39931,07/05/2021
Capital Region,Washington,32809,31205,07/05/2021
Finger Lakes,Wayne,49348,46810,07/05/2021
Mid-Hudson,Westchester,623900,573772,07/05/2021
Finger Lakes,Wyoming,18038,16910,07/05/2021
Finger Lakes,Yates,11446,10773,07/05/2021
Capital Region,Albany,196376,183258,07/06/2021
Western New York,Allegany,17253,16230,07/06/2021
New York City,Bronx,681517,608072,07/06/2021
Southern Tier,Broome,106621,101202,07/06/2021
Western New York,Cattaraugus,32847,30492,07/06/2021
Central New York,Cayuga,38736,36359,07/06/2021
Western New York,Chautauqua,61637,57220,07/06/2021
Southern Tier,Chemung,37323,35293,07/06/2021
Southern Tier,Chenango,24426,22994,07/06/2021
North Country,Clinton,47874,45579,07/06/2021
Capital Region,Columbia,35947,33339,07/06/2021
Central New York,Cortland,23406,22209,07/06/2021
Southern Tier,Delaware,20824,19476,07/06/2021
Mid-Hudson,Dutchess,170554,155022,07/06/2021
Western New York,Erie,539952,503081,07/06/2021
North Country,Essex,22461,21473,07/06/2021
North Country,Franklin,24750,23325,07/06/2021
Mohawk Valley,Fulton,23177,21833,07/06/2021
Finger Lakes,Genesee,28669,26969,07/06/2021
Capital Region,Greene,24856,22674,07/06/2021
North Country,Hamilton,3109,2883,07/06/2021
Mohawk Valley,Herkimer,28738,26780,07/06/2021
North Country,Jefferson,56801,46860,07/06/2021
New York City,Kings,1291182,1174922,07/06/2021
North Country,Lewis,11152,10687,07/06/2021
Finger Lakes,Livingston,32026,30449,07/06/2021
Central New York,Madison,43266,40734,07/06/2021
Finger Lakes,Monroe,446167,423262,07/06/2021
Mohawk Valley,Montgomery,27130,25507,07/06/2021
Long Island,Nassau,898174,829613,07/06/2021
New York City,New York,1117239,1031000,07/06/2021
Western New York,Niagara,115025,107970,07/06/2021
Mohawk Valley,Oneida,118473,110709,07/06/2021
Central New York,Onondaga,285329,267790,07/06/2021
Finger Lakes,Ontario,66615,63546,07/06/2021
Mid-Hudson,Orange,186274,169859,07/06/2021
Finger Lakes,Orleans,18260,17224,07/06/2021
Central New York,Oswego,61255,57956,07/06/2021
Mohawk Valley,Otsego,32258,30522,07/06/2021
Mid-Hudson,Putnam,61768,55958,07/06/2021
New York City,Queens,1452842,1318279,07/06/2021
Capital Region,Rensselaer,93235,87668,07/06/2021
New York City,Richmond,250041,229569,07/06/2021
Mid-Hudson,Rockland,167426,152632,07/06/2021
Capital Region,Saratoga,148570,140531,07/06/2021
Capital Region,Schenectady,104168,97147,07/06/2021
Mohawk Valley,Schoharie,15047,14300,07/06/2021
Southern Tier,Schuyler,8836,8344,07/06/2021
Finger Lakes,Seneca,15417,14528,07/06/2021
North Country,St. Lawrence,55508,52487,07/06/2021
Southern Tier,Steuben,41656,39445,07/06/2021
Long Island,Suffolk,884349,811085,07/06/2021
Mid-Hudson,Sullivan,36861,33599,07/06/2021
Southern Tier,Tioga,20338,19250,07/06/2021
Southern Tier,Tompkins,69477,66017,07/06/2021
Mid-Hudson,Ulster,113097,104329,07/06/2021
Capital Region,Warren,41890,39972,07/06/2021
Capital Region,Washington,32827,31234,07/06/2021
Finger Lakes,Wayne,49386,46876,07/06/2021
Mid-Hudson,Westchester,624861,575110,07/06/2021
Finger Lakes,Wyoming,18102,16991,07/06/2021
Finger Lakes,Yates,11446,10775,07/06/2021
Capital Region,Albany,196607,183523,07/07/2021
Western New York,Allegany,17266,16257,07/07/2021
New York City,Bronx,683720,611221,07/07/2021
Southern Tier,Broome,106717,101333,07/07/2021
Western New York,Cattaraugus,32892,30561,07/07/2021
Central New York,Cayuga,38781,36401,07/07/2021
Western New York,Chautauqua,61680,57319,07/07/2021
Southern Tier,Chemung,37373,35346,07/07/2021
Southern Tier,Chenango,24459,23037,07/07/2021
North Country,Clinton,47903,45654,07/07/2021
Capital Region,Columbia,35984,33390,07/07/2021
Central New York,Cortland,23432,22241,07/07/2021
Southern Tier,Delaware,20858,19519,07/07/2021
Mid-Hudson,Dutchess,170819,155283,07/07/2021
Western New York,Erie,540662,504300,07/07/2021
North Country,Essex,22471,21493,07/07/2021
North Country,Franklin,24768,23371,07/07/2021
Mohawk Valley,Fulton,23199,21875,07/07/2021
Finger Lakes,Genesee,28711,27028,07/07/2021
Capital Region,Greene,24884,22698,07/07/2021
North Country,Hamilton,3114,2900,07/07/2021
Mohawk Valley,Herkimer,28771,26825,07/07/2021
North Country,Jefferson,56832,46977,07/07/2021
New York City,Kings,1294080,1178347,07/07/2021
North Country,Lewis,11162,10701,07/07/2021
Finger Lakes,Livingston,32048,30489,07/07/2021
Central New York,Madison,43298,40770,07/07/2021
Finger Lakes,Monroe,446650,423949,07/07/2021
Mohawk Valley,Montgomery,27172,25564,07/07/2021
Long Island,Nassau,899586,831199,07/07/2021
New York City,New York,1119252,1033117,07/07/2021
Western New York,Niagara,115155,108204,07/07/2021
Mohawk Valley,Oneida,118614,110890,07/07/2021
Central New York,Onondaga,285878,268295,07/07/2021
Finger Lakes,Ontario,66673,63665,07/07/2021
Mid-Hudson,Orange,186565,170188,07/07/2021
Finger Lakes,Orleans,18276,17252,07/07/2021
Central New York,Oswego,61328,58058,07/07/2021
Mohawk Valley,Otsego,32293,30572,07/07/2021
Mid-Hudson,Putnam,61866,56056,07/07/2021
New York City,Queens,1456304,1322313,07/07/2021
Capital Region,Rensselaer,93321,87789,07/07/2021
New York City,Richmond,250482,230126,07/07/2021
Mid-Hudson,Rockland,167669,152879,07/07/2021
Capital Region,Saratoga,148685,140721,07/07/2021
Capital Region,Schenectady,104284,97302,07/07/2021
Mohawk Valley,Schoharie,15058,14328,07/07/2021
Southern Tier,Schuyler,8849,8357,07/07/2021
Finger Lakes,Seneca,15425,14561,07/07/2021
North Country,St. Lawrence,55581,52569,07/07/2021
Southern Tier,Steuben,41716,39509,07/07/2021
Long Island,Suffolk,885928,812691,07/07/2021
Mid-Hudson,Sullivan,36939,33643,07/07/2021
Southern Tier,Tioga,20353,19275,07/07/2021
Southern Tier,Tompkins,69526,66061,07/07/2021
Mid-Hudson,Ulster,113209,104477,07/07/2021
Capital Region,Warren,41921,40017,07/07/2021
Capital Region,Washington,32860,31282,07/07/2021
Finger Lakes,Wayne,49440,46959,07/07/2021
Mid-Hudson,Westchester,625923,576097,07/07/2021
Finger Lakes,Wyoming,18116,17014,07/07/2021
Finger Lakes,Yates,11458,10801,07/07/2021
Capital Region,Albany,196737,183713,07/08/2021
Western New York,Allegany,17309,16327,07/08/2021
New York City,Bronx,685813,613805,07/08/2021
Southern Tier,Broome,106822,101462,07/08/2021
Western New York,Cattaraugus,32924,30617,07/08/2021
Central New York,Cayuga,38815,36446,07/08/2021
Western New York,Chautauqua,61723,57389,07/08/2021
Southern Tier,Chemung,37424,35395,07/08/2021
Southern Tier,Chenango,24475,23052,07/08/2021
North Country,Clinton,47946,45711,07/08/2021
Capital Region,Columbia,36023,33411,07/08/2021
Central New York,Cortland,23445,22259,07/08/2021
Southern Tier,Delaware,20876,19538,07/08/2021
Mid-Hudson,Dutchess,171034,155543,07/08/2021
Western New York,Erie,541088,504840,07/08/2021
North Country,Essex,22482,21511,07/08/2021
North Country,Franklin,24785,23399,07/08/2021
Mohawk Valley,Fulton,23214,21909,07/08/2021
Finger Lakes,Genesee,28739,27064,07/08/2021
Capital Region,Greene,24902,22716,07/08/2021
North Country,Hamilton,3116,2902,07/08/2021
Mohawk Valley,Herkimer,28796,26854,07/08/2021
North Country,Jefferson,56914,47063,07/08/2021
New York City,Kings,1297097,1181843,07/08/2021
North Country,Lewis,11171,10707,07/08/2021
Finger Lakes,Livingston,32076,30520,07/08/2021
Central New York,Madison,43325,40793,07/08/2021
Finger Lakes,Monroe,447174,424539,07/08/2021
Mohawk Valley,Montgomery,27200,25615,07/08/2021
Long Island,Nassau,900623,832387,07/08/2021
New York City,New York,1121324,1035212,07/08/2021
Western New York,Niagara,115276,108329,07/08/2021
Mohawk Valley,Oneida,118735,111034,07/08/2021
Central New York,Onondaga,286280,268643,07/08/2021
Finger Lakes,Ontario,66729,63727,07/08/2021
Mid-Hudson,Orange,186744,170424,07/08/2021
Finger Lakes,Orleans,18289,17287,07/08/2021
Central New York,Oswego,61391,58139,07/08/2021
Mohawk Valley,Otsego,32316,30592,07/08/2021
Mid-Hudson,Putnam,61936,56129,07/08/2021
New York City,Queens,1460108,1325773,07/08/2021
Capital Region,Rensselaer,93395,87912,07/08/2021
New York City,Richmond,251035,230706,07/08/2021
Mid-Hudson,Rockland,167928,153208,07/08/2021
Capital Region,Saratoga,148771,140838,07/08/2021
Capital Region,Schenectady,104398,97413,07/08/2021
Mohawk Valley,Schoharie,15079,14346,07/08/2021
Southern Tier,Schuyler,8865,8372,07/08/2021
Finger Lakes,Seneca,15434,14590,07/08/2021
North Country,St. Lawrence,55644,52625,07/08/2021
Southern Tier,Steuben,41750,39609,07/08/2021
Long Island,Suffolk,886995,813944,07/08/2021
Mid-Hudson,Sullivan,36985,33706,07/08/2021
Southern Tier,Tioga,20363,19293,07/08/2021
Southern Tier,Tompkins,69556,66128,07/08/2021
Mid-Hudson,Ulster,113322,104627,07/08/2021
Capital Region,Warren,41946,40074,07/08/2021
Capital Region,Washington,32882,31310,07/08/2021
Finger Lakes,Wayne,49474,47008,07/08/2021
Mid-Hudson,Westchester,626664,577101,07/08/2021
Finger Lakes,Wyoming,18127,17043,07/08/2021
Finger Lakes,Yates,11465,10809,07/08/2021
Capital Region,Albany,196978,183991,07/09/2021
Western New York,Allegany,17344,16363,07/09/2021
New York City,Bronx,687696,616205,07/09/2021
Southern Tier,Broome,106930,101630,07/09/2021
Western New York,Cattaraugus,32958,30658,07/09/2021
Central New York,Cayuga,38866,36522,07/09/2021
Western New York,Chautauqua,61789,57469,07/09/2021
Southern Tier,Chemung,37504,35458,07/09/2021
Southern Tier,Chenango,24517,23114,07/09/2021
North Country,Clinton,48026,45834,07/09/2021
Capital Region,Columbia,36073,33459,07/09/2021
Central New York,Cortland,23476,22297,07/09/2021
Southern Tier,Delaware,20908,19596,07/09/2021
Mid-Hudson,Dutchess,171260,155781,07/09/2021
Western New York,Erie,542112,506605,07/09/2021
North Country,Essex,22514,21544,07/09/2021
North Country,Franklin,24809,23439,07/09/2021
Mohawk Valley,Fulton,23244,21952,07/09/2021
Finger Lakes,Genesee,28816,27156,07/09/2021
Capital Region,Greene,24929,22752,07/09/2021
North Country,Hamilton,3118,2902,07/09/2021
Mohawk Valley,Herkimer,28824,26915,07/09/2021
North Country,Jefferson,56978,47156,07/09/2021
New York City,Kings,1300032,1185503,07/09/2021
North Country,Lewis,11194,10725,07/09/2021
Finger Lakes,Livingston,32137,30606,07/09/2021
Central New York,Madison,43408,40867,07/09/2021
Finger Lakes,Monroe,447736,425383,07/09/2021
Mohawk Valley,Montgomery,27254,25673,07/09/2021
Long Island,Nassau,902187,834377,07/09/2021
New York City,New York,1123404,1037288,07/09/2021
Western New York,Niagara,115417,108572,07/09/2021
Mohawk Valley,Oneida,118933,111271,07/09/2021
Central New York,Onondaga,286801,269320,07/09/2021
Finger Lakes,Ontario,66795,63790,07/09/2021
Mid-Hudson,Orange,187070,170842,07/09/2021
Finger Lakes,Orleans,18304,17322,07/09/2021
Central New York,Oswego,61474,58265,07/09/2021
Mohawk Valley,Otsego,32344,30650,07/09/2021
Mid-Hudson,Putnam,62048,56247,07/09/2021
New York City,Queens,1463180,1329256,07/09/2021
Capital Region,Rensselaer,93516,88071,07/09/2021
New York City,Richmond,251607,231260,07/09/2021
Mid-Hudson,Rockland,168197,153562,07/09/2021
Capital Region,Saratoga,148915,141044,07/09/2021
Capital Region,Schenectady,104517,97618,07/09/2021
Mohawk Valley,Schoharie,15100,14388,07/09/2021
Southern Tier,Schuyler,8872,8382,07/09/2021
Finger Lakes,Seneca,15445,14613,07/09/2021
North Country,St. Lawrence,55723,52706,07/09/2021
Southern Tier,Steuben,41805,39698,07/09/2021
Long Island,Suffolk,888926,816041,07/09/2021
Mid-Hudson,Sullivan,37049,33804,07/09/2021
Southern Tier,Tioga,20383,19320,07/09/2021
Southern Tier,Tompkins,69604,66200,07/09/2021
Mid-Hudson,Ulster,113457,104825,07/09/2021
Capital Region,Warren,41983,40131,07/09/2021
Capital Region,Washington,32955,31415,07/09/2021
Finger Lakes,Wayne,49536,47124,07/09/2021
Mid-Hudson,Westchester,627800,578373,07/09/2021
Finger Lakes,Wyoming,18148,17094,07/09/2021
Finger Lakes,Yates,11479,10830,07/09/2021
Capital Region,Albany,197095,184148,07/10/2021
Western New York,Allegany,17350,16381,07/10/2021
New York City,Bronx,688930,617864,07/10/2021
Southern Tier,Broome,107013,101727,07/10/2021
Western New York,Cattaraugus,32988,30689,07/10/2021
Central New York,Cayuga,38893,36547,07/10/2021
Western New York,Chautauqua,61829,57535,07/10/2021
Southern Tier,Chemung,37541,35497,07/10/2021
Southern Tier,Chenango,24540,23139,07/10/2021
North Country,Clinton,48055,45867,07/10/2021
Capital Region,Columbia,36102,33502,07/10/2021
Central New York,Cortland,23501,22315,07/10/2021
Southern Tier,Delaware,20927,19623,07/10/2021
Mid-Hudson,Dutchess,171425,155958,07/10/2021
Western New York,Erie,542642,507266,07/10/2021
North Country,Essex,22533,21554,07/10/2021
North Country,Franklin,24825,23465,07/10/2021
Mohawk Valley,Fulton,23264,21983,07/10/2021
Finger Lakes,Genesee,28845,27208,07/10/2021
Capital Region,Greene,24940,22774,07/10/2021
North Country,Hamilton,3120,2902,07/10/2021
Mohawk Valley,Herkimer,28847,26944,07/10/2021
North Country,Jefferson,57019,47209,07/10/2021
New York City,Kings,1302403,1188531,07/10/2021
North Country,Lewis,11198,10733,07/10/2021
Finger Lakes,Livingston,32161,30655,07/10/2021
Central New York,Madison,43436,40896,07/10/2021
Finger Lakes,Monroe,448154,425916,07/10/2021
Mohawk Valley,Montgomery,27282,25699,07/10/2021
Long Island,Nassau,903559,835828,07/10/2021
New York City,New York,1124894,1038962,07/10/2021
Western New York,Niagara,115533,108730,07/10/2021
Mohawk Valley,Oneida,119015,111396,07/10/2021
Central New York,Onondaga,287011,269588,07/10/2021
Finger Lakes,Ontario,66829,63841,07/10/2021
Mid-Hudson,Orange,187329,171192,07/10/2021
Finger Lakes,Orleans,18315,17355,07/10/2021
Central New York,Oswego,61510,58334,07/10/2021
Mohawk Valley,Otsego,32373,30681,07/10/2021
Mid-Hudson,Putnam,62103,56306,07/10/2021
New York City,Queens,1466216,1333397,07/10/2021
Capital Region,Rensselaer,93606,88150,07/10/2021
New York City,Richmond,252039,231775,07/10/2021
Mid-Hudson,Rockland,168414,153806,07/10/2021
Capital Region,Saratoga,149015,141158,07/10/2021
Capital Region,Schenectady,104605,97734,07/10/2021
Mohawk Valley,Schoharie,15113,14396,07/10/2021
Southern Tier,Schuyler,8876,8390,07/10/2021
Finger Lakes,Seneca,15461,14628,07/10/2021
North Country,St. Lawrence,55758,52748,07/10/2021
Southern Tier,Steuben,41835,39739,07/10/2021
Long Island,Suffolk,890288,817417,07/10/2021
Mid-Hudson,Sullivan,37082,33858,07/10/2021
Southern Tier,Tioga,20392,19345,07/10/2021
Southern Tier,Tompkins,69642,66248,07/10/2021
Mid-Hudson,Ulster,113551,104930,07/10/2021
Capital Region,Warren,41997,40162,07/10/2021
Capital Region,Washington,32972,31450,07/10/2021
Finger Lakes,Wayne,49595,47178,07/10/2021
Mid-Hudson,Westchester,628574,579139,07/10/2021
Finger Lakes,Wyoming,18155,17110,07/10/2021
Finger Lakes,Yates,11482,10847,07/10/2021
Capital Region,Albany,197183,184240,07/11/2021
Western New York,Allegany,17355,16388,07/11/2021
New York City,Bronx,689589,618670,07/11/2021
Southern Tier,Broome,107068,101798,07/11/2021
Western New York,Cattaraugus,33004,30707,07/11/2021
Central New York,Cayuga,38907,36566,07/11/2021
Western New York,Chautauqua,61864,57592,07/11/2021
Southern Tier,Chemung,37552,35519,07/11/2021
Southern Tier,Chenango,24549,23158,07/11/2021
North Country,Clinton,48071,45885,07/11/2021
Capital Region,Columbia,36121,33528,07/11/2021
Central New York,Cortland,23509,22325,07/11/2021
Southern Tier,Delaware,20935,19633,07/11/2021
Mid-Hudson,Dutchess,171529,156061,07/11/2021
Western New York,Erie,542957,507670,07/11/2021
North Country,Essex,22538,21564,07/11/2021
North Country,Franklin,24833,23480,07/11/2021
Mohawk Valley,Fulton,23273,21998,07/11/2021
Finger Lakes,Genesee,28869,27228,07/11/2021
Capital Region,Greene,24956,22788,07/11/2021
North Country,Hamilton,3123,2902,07/11/2021
Mohawk Valley,Herkimer,28868,26967,07/11/2021
North Country,Jefferson,57036,47232,07/11/2021
New York City,Kings,1304077,1190424,07/11/2021
North Country,Lewis,11202,10739,07/11/2021
Finger Lakes,Livingston,32175,30677,07/11/2021
Central New York,Madison,43460,40918,07/11/2021
Finger Lakes,Monroe,448438,426235,07/11/2021
Mohawk Valley,Montgomery,27294,25716,07/11/2021
Long Island,Nassau,904376,836544,07/11/2021
New York City,New York,1126134,1040009,07/11/2021
Western New York,Niagara,115631,108822,07/11/2021
Mohawk Valley,Oneida,119084,111449,07/11/2021
Central New York,Onondaga,287190,269747,07/11/2021
Finger Lakes,Ontario,66852,63886,07/11/2021
Mid-Hudson,Orange,187532,171386,07/11/2021
Finger Lakes,Orleans,18334,17366,07/11/2021
Central New York,Oswego,61542,58365,07/11/2021
Mohawk Valley,Otsego,32386,30696,07/11/2021
Mid-Hudson,Putnam,62138,56352,07/11/2021
New York City,Queens,1468399,1335776,07/11/2021
Capital Region,Rensselaer,93641,88199,07/11/2021
New York City,Richmond,252346,232106,07/11/2021
Mid-Hudson,Rockland,168627,153969,07/11/2021
Capital Region,Saratoga,149097,141235,07/11/2021
Capital Region,Schenectady,104669,97820,07/11/2021
Mohawk Valley,Schoharie,15120,14404,07/11/2021
Southern Tier,Schuyler,8879,8392,07/11/2021
Finger Lakes,Seneca,15476,14640,07/11/2021
North Country,St. Lawrence,55776,52770,07/11/2021
Southern Tier,Steuben,41850,39762,07/11/2021
Long Island,Suffolk,891312,818327,07/11/2021
Mid-Hudson,Sullivan,37110,33884,07/11/2021
Southern Tier,Tioga,20399,19359,07/11/2021
Southern Tier,Tompkins,69660,66276,07/11/2021
Mid-Hudson,Ulster,113625,104996,07/11/2021
Capital Region,Warren,42010,40170,07/11/2021
Capital Region,Washington,32993,31472,07/11/2021
Finger Lakes,Wayne,49628,47218,07/11/2021
Mid-Hudson,Westchester,628989,579600,07/11/2021
Finger Lakes,Wyoming,18161,17116,07/11/2021
Finger Lakes,Yates,11489,10853,07/11/2021
Capital Region,Albany,197358,184431,07/12/2021
Western New York,Allegany,17374,16413,07/12/2021
New York City,Bronx,691309,620569,07/12/2021
Southern Tier,Broome,107155,101905,07/12/2021
Western New York,Cattaraugus,33042,30748,07/12/2021
Central New York,Cayuga,38957,36650,07/12/2021
Western New York,Chautauqua,61904,57635,07/12/2021
Southern Tier,Chemung,37592,35609,07/12/2021
Southern Tier,Chenango,24565,23184,07/12/2021
North Country,Clinton,48092,45935,07/12/2021
Capital Region,Columbia,36142,33560,07/12/2021
Central New York,Cortland,23515,22341,07/12/2021
Southern Tier,Delaware,20946,19643,07/12/2021
Mid-Hudson,Dutchess,171679,156219,07/12/2021
Western New York,Erie,543631,508112,07/12/2021
North Country,Essex,22547,21579,07/12/2021
North Country,Franklin,24842,23498,07/12/2021
Mohawk Valley,Fulton,23287,22023,07/12/2021
Finger Lakes,Genesee,28875,27243,07/12/2021
Capital Region,Greene,24977,22816,07/12/2021
North Country,Hamilton,3123,2905,07/12/2021
Mohawk Valley,Herkimer,28899,27018,07/12/2021
North Country,Jefferson,57073,47288,07/12/2021
New York City,Kings,1306229,1193051,07/12/2021
North Country,Lewis,11212,10752,07/12/2021
Finger Lakes,Livingston,32199,30695,07/12/2021
Central New York,Madison,43490,40957,07/12/2021
Finger Lakes,Monroe,448771,426620,07/12/2021
Mohawk Valley,Montgomery,27319,25755,07/12/2021
Long Island,Nassau,905410,837751,07/12/2021
New York City,New York,1127837,1041443,07/12/2021
Western New York,Niagara,115692,108895,07/12/2021
Mohawk Valley,Oneida,119195,111574,07/12/2021
Central New York,Onondaga,287484,270047,07/12/2021
Finger Lakes,Ontario,66886,63954,07/12/2021
Mid-Hudson,Orange,187733,171614,07/12/2021
Finger Lakes,Orleans,18337,17369,07/12/2021
Central New York,Oswego,61600,58431,07/12/2021
Mohawk Valley,Otsego,32395,30713,07/12/2021
Mid-Hudson,Putnam,62212,56424,07/12/2021
New York City,Queens,1471298,1339017,07/12/2021
Capital Region,Rensselaer,93733,88321,07/12/2021
New York City,Richmond,252763,232578,07/12/2021
Mid-Hudson,Rockland,168809,154208,07/12/2021
Capital Region,Saratoga,149211,141349,07/12/2021
Capital Region,Schenectady,104784,97944,07/12/2021
Mohawk Valley,Schoharie,15132,14420,07/12/2021
